words_num,awerage_word_length,italicness,formuleness,heading_first_word,boldness_first_word,is_capital_first_letter,type,text
1,1.0,0.0,0.0,False,0.0,False,text," 7
"
1,1.0,0.0,0.0,False,0.0,False,text," 1
"
1,1.0,0.0,0.0,False,0.0,False,text," 0
"
1,1.0,0.0,0.0,False,0.0,False,text," 2
"
2,0.0,0.0,0.0,False,0.0,False,text,"  
"
1,1.0,0.0,0.0,False,0.0,False,text," b
"
1,1.0,0.0,0.0,False,0.0,False,text," e
"
1,1.0,0.0,0.0,False,0.0,True,text," F
"
1,1.0,0.0,0.0,False,0.0,False,text," 3
"
1,1.0,0.0,0.0,False,0.0,False,text," 1
"
2,0.0,0.0,0.0,False,0.0,False,text,"  
"
2,0.0,0.0,0.0,False,0.0,False,text,"  
"
2,0.0,0.0,0.0,False,0.0,False,text,"  
"
1,1.0,0.0,0.0,False,0.0,False,text," ]
"
1,1.0,0.0,0.0,False,0.0,False,text," .
"
1,1.0,0.0,0.0,False,0.0,True,text," G
"
1,1.0,0.0,0.0,False,0.0,True,text," M
"
1,1.0,0.0,0.0,False,0.0,False,text," h
"
1,1.0,0.0,0.0,False,0.0,False,text," t
"
1,1.0,0.0,0.0,False,0.0,False,text," a
"
1,1.0,0.0,0.0,False,0.0,False,text," m
"
1,1.0,0.0,0.0,False,0.0,False,text," [
"
2,0.0,0.0,0.0,False,0.0,False,text,"  
"
2,0.0,0.0,0.0,False,0.0,False,text,"  
"
1,1.0,0.0,0.0,False,0.0,False,text," 3
"
1,1.0,0.0,0.0,False,0.0,False,text," v
"
1,1.0,0.0,0.0,False,0.0,False,text," 1
"
1,1.0,0.0,0.0,False,0.0,False,text," 5
"
1,1.0,0.0,0.0,False,0.0,False,text," 2
"
1,1.0,0.0,0.0,False,0.0,False,text," 3
"
1,1.0,0.0,0.0,False,0.0,False,text," 0
"
1,1.0,0.0,0.0,False,0.0,False,text," .
"
1,1.0,0.0,0.0,False,0.0,False,text," 1
"
1,1.0,0.0,0.0,False,0.0,False,text," 1
"
1,1.0,0.0,0.0,False,0.0,False,text," 6
"
1,1.0,0.0,0.0,False,0.0,False,text," 1
"
1,1.0,0.0,0.0,False,0.0,False,text," :
"
1,1.0,0.0,0.0,False,0.0,False,text," v
"
1,1.0,0.0,0.0,False,0.0,False,text," i
"
1,1.0,0.0,0.0,False,0.0,True,text," X
"
1,1.0,0.0,0.0,False,0.0,False,text," r
"
1,1.0,0.0,0.0,False,0.0,False,text," a
"
4,8.0,0.0,0.0,False,0.0,True,text," Helly-type theorem for eigenvectors
"
2,9.0,0.0,0.0,False,0.0,True,text," Alexandr Polyanskii
"
3,5.0,0.0,0.0,False,0.0,True,text," February 14, 2017
"
1,8.0,0.0,0.0,False,1.0,True,text," Abstract
"
16,4.0625,0.0,0.0625,False,0.0,True,text," We prove that if any 3d/2 or fewer elements of a nite family of linear operators
"
15,4.06666666667,0.0,0.166666666667,False,0.0,True,text," Kd  Kd (K is an arbitrary eld) have a common eigenvector then all operators
"
13,5.0,0.0,0.0769230769231,False,0.0,False,text," in the family have a common eigenvector. Moreover, 3d/2 cannot be replaced by
"
12,5.91666666667,0.0,0.0,False,0.0,False,text," a smaller number. Also, we study the following problem, achieving partial results:
"
17,3.82352941176,0.0,0.0882352941176,False,0.0,False,text," prove that if any l = O(d) or fewer elements of a nite family of linear operators
"
14,4.57142857143,0.0,0.142857142857,False,0.0,True,text," Kd  Kd have a common non-trivial invariant subspace then all operators in the
"
7,6.57142857143,0.0,0.0,False,0.0,False,text," family have a common non-trivial invariant subspace.
"
1,1.0,0.0,0.0,False,1.0,False,text," 1
"
1,12.0,0.0,0.0,False,1.0,True,text," Introduction
"
24,2.58333333333,0.0,0.4375,False,0.0,True,text," We denote the set of numbers {a, a + 1, . . . , b} by [a, b], where a  b are positive
"
12,4.66666666667,0.0,0.0833333333333,False,0.0,False,text," integer numbers. Also, we use the following notation [b] := [1, b].
"
6,6.0,0.0,0.0,False,0.0,True,text," The well-known Hellys theorem [5] claims.
"
20,3.0,0.679166666667,0.133333333333,True,1.0,True,heading," Theorem 1. Let F be a nite family of convex sets in Rd. If every d + 1 or fewer
"
13,4.46153846154,0.846153846154,0.153846153846,False,0.0,False,body," elements of F intersects, then all the sets in the family F intersect.
"
12,5.33333333333,0.0,0.0,False,0.0,True,after_body," There is an abundance of literature on Helly-type theorems, see for example
"
17,4.05882352941,0.0,0.0,False,0.0,False,text," [1, 3, 4, 6, 8]. The aim of this work is to answer the following Helly-type question.
"
18,3.22222222222,0.643518518519,0.203703703704,False,1.0,True,heading," Problem 1. Let A be a nite family of linear operators Kd  Kd, where K is an
"
18,3.22222222222,0.657407407407,0.203703703704,False,0.0,False,body," arbitrary eld and d  2. Find minimal k = HE(Kd) such that if any k or fewer
"
14,4.64285714286,0.928571428571,0.0714285714286,False,0.0,False,body," elements of A have a common eigenvector then there is a common eigenvector for
"
6,4.16666666667,0.916666666667,0.0833333333333,False,0.0,False,body," all operators in the family A.
"
15,4.13333333333,0.0,0.0,False,0.0,True,after_body," The authors of [2] considered Problem 1 and gave the wrong proof of the fact
"
17,3.64705882353,0.0,0.0980392156863,False,0.0,False,text," that HE(Kd) = d + 1 (see Theorem 5.1 in [2]). Our main result is the following
"
1,8.0,0.0,0.0,False,0.0,False,text," theorem.
"
10,3.9,0.483333333333,0.216666666667,True,1.0,True,heading," Theorem 2. HE(Kd) = 3d/2 for an arbitrary eld K.
"
7,3.71428571429,0.0,0.0,False,0.0,True,after_body," We prove Theorem 2 in Section 2.
"
12,5.58333333333,0.0,0.0,False,0.0,True,text," Also, we discuss the following Helly-type question posed by Andrey Voynov [7].
"
18,3.22222222222,0.643518518519,0.203703703704,False,1.0,True,heading," Problem 2. Let A be a nite family of linear operators Kd  Kd, where K is an
"
18,3.22222222222,0.657407407407,0.203703703704,False,0.0,False,body," arbitrary eld and d  2. Find minimal l = HI(Kd) such that if any l or fewer
"
14,4.85714285714,0.928571428571,0.0714285714286,False,0.0,False,body," elements of A have a common non-trivial invariant subspace then there is a common
"
10,5.6,0.95,0.05,False,0.0,False,body," non-trivial invariant subspace for all operators in the family A.
"
1,1.0,0.0,0.0,False,0.0,False,after_body," 1
"
17,3.47058823529,0.0,0.0882352941176,False,0.0,True,text," It is easy to see that HI(Kd)  d2. Indeed, suppose that we know that any d2
"
13,5.30769230769,0.0,0.0,False,0.0,False,text," or fewer operators in a nite family have a common non-trivial invariant subspace.
"
19,3.52631578947,0.0,0.105263157895,False,0.0,True,text," Note that the space of linear operators is in fact the space of matrices of size d  d
"
15,4.4,0.0,0.0333333333333,False,0.0,False,text," therefore among operators in the family we can nd at most d2 operators such that
"
15,4.66666666667,0.0,0.0,False,0.0,False,text," any operator in the family is equal to a linear combination of these operators (with
"
13,5.15384615385,0.0,0.0384615384615,False,0.0,False,text," coecients in K. Therefore, because of our assumption all elements of the family
"
5,6.2,0.0,0.0,False,0.0,False,text," have a common non-trivial subspace.
"
17,3.41176470588,0.0,0.127450980392,False,0.0,True,text," It is not dicult to slightly improve the above estimate HI(Kd)  d2  d + 1.
"
